time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-06T15:33:59.408Z,18.7728,145.4228,60.13,4.3,mb,,122,3.529,0.52,us,us6000c73j,2020-10-14T16:33:18.040Z,"Pagan region, Northern Mariana Islands",earthquake,9.9,10.3,0.188,8,reviewed,us,us
2020-10-06T15:32:12.098Z,27.1658,140.1382,453.71,4.1,mb,,129,5.936,0.65,us,us6000c73e,2020-10-14T16:21:27.040Z,"Bonin Islands, Japan region",earthquake,6.2,8.3,0.074,50,reviewed,us,us
2020-10-06T15:21:11.860Z,3.1268,65.5237,10,4.6,mb,,87,7.912,0.61,us,us6000c73c,2020-10-14T15:33:23.040Z,"Carlsberg Ridge",earthquake,9.2,1.4,0.132,17,reviewed,us,us
2020-10-06T14:31:13.021Z,-35.848,179.3191,70.14,4.1,mb,,184,1.894,0.2,us,us6000c736,2020-10-14T15:06:00.040Z,"off the east coast of the North Island of New Zealand",earthquake,11.5,11.4,0.185,8,reviewed,us,us
2020-10-06T14:29:33.268Z,7.9697,124.4477,156.98,4.2,mb,,101,1.434,0.52,us,us6000c739,2020-10-14T14:58:53.040Z,"16 km NE of Tamparan, Philippines",earthquake,9,10.1,0.167,11,reviewed,us,us
2020-10-06T14:25:59.828Z,-9.537,112.877,35,4,mb,,121,1.646,0.73,us,us6000c737,2020-10-14T14:46:27.040Z,"147 km S of Dampit, Indonesia",earthquake,5.6,1.9,0.15,12,reviewed,us,us
2020-10-06T14:11:47.995Z,-18.9919,-175.5718,203.97,4.1,mb,,88,5.34,0.8,us,us6000c734,2020-10-14T14:31:58.040Z,"157 km NW of Pangai, Tonga",earthquake,9.1,7.2,0.131,16,reviewed,us,us
2020-10-06T14:09:58.869Z,-9.5012,112.6795,35,4.2,mb,,128,1.779,0.76,us,us6000c735,2020-10-14T14:35:38.040Z,"142 km S of Dampit, Indonesia",earthquake,8.3,2,0.136,15,reviewed,us,us
2020-10-06T13:56:42.504Z,-62.3428,-58.2189,10,5.4,mww,,73,0.232,0.83,us,us6000c63r,2020-10-14T13:53:14.134Z,"South Shetland Islands",earthquake,5.6,1.8,0.073,18,reviewed,us,us
2020-10-06T13:52:31.722Z,-9.5762,112.8615,35,4.8,mww,,111,1.683,1.51,us,us6000c63n,2020-10-14T13:45:22.040Z,"151 km S of Dampit, Indonesia",earthquake,7.4,1.9,0.083,14,reviewed,us,us
2020-10-06T13:25:11.106Z,-21.4095,-69.872,45.66,4,mb,,149,0.092,0.42,us,us6000c63f,2020-10-06T15:12:18.979Z,"82 km NNE of Tocopilla, Chile",earthquake,5.2,4.4,0.366,2,reviewed,us,us
2020-10-06T13:22:06.448Z,9.5595,126.6684,40.28,4.8,mb,,115,2.698,0.33,us,us6000c63i,2020-10-14T13:40:59.040Z,"60 km ENE of Cortes, Philippines",earthquake,9.3,6.2,0.085,43,reviewed,us,us
2020-10-06T13:17:39.466Z,-15.3166,-72.2307,114.9,4,mb,,158,3.534,0.68,us,us6000c73h,2020-10-14T13:33:01.040Z,"13 km ESE of Orcopampa, Peru",earthquake,11.4,13.4,0.299,3,reviewed,us,us
2020-10-06T13:17:36.131Z,-0.9306,122.1768,44.23,4.8,mb,,47,0.604,0.66,us,us6000c63c,2020-10-14T13:37:17.040Z,"68 km W of Luwuk, Indonesia",earthquake,5.1,5.8,0.093,38,reviewed,us,us
2020-10-06T10:11:46.475Z,-18.0186,-178.4948,628.77,6,mww,,18,3.298,1.11,us,us6000c617,2020-10-07T15:26:49.040Z,"231 km E of Levuka, Fiji",earthquake,9.6,3.3,0.049,40,reviewed,us,us
2020-10-06T08:47:01.687Z,0.7895,127.2634,101.52,5,mb,,66,0.104,0.81,us,us6000c60p,2020-10-06T09:03:02.040Z,"13 km W of Ternate, Indonesia",earthquake,7.2,5.7,0.12,22,reviewed,us,us
2020-10-06T08:27:49.967Z,12.1893,-87.7093,46.65,4.3,mb,,191,0.84,0.59,us,us6000c60m,2020-10-07T08:03:40.040Z,"66 km WSW of Corinto, Nicaragua",earthquake,8.7,15.4,0.098,29,reviewed,us,us
2020-10-06T08:12:01.809Z,39.7429,73.8726,10,4.5,mb,,149,1.618,1.46,us,us6000c60i,2020-10-07T07:55:06.040Z,"121 km ESE of Nookat, Kyrgyzstan",earthquake,5.7,2,0.204,7,reviewed,us,us
2020-10-06T08:01:16.056Z,-62.3188,-58.2757,10,4.5,mb,,85,0.198,0.65,us,us6000c733,2020-10-13T05:39:55.040Z,"South Shetland Islands",earthquake,6.8,1.9,0.145,14,reviewed,us,us
2020-10-06T06:27:35.055Z,39.405,141.9818,92.77,4.6,mb,,99,1.551,0.54,us,us6000c5zw,2020-10-06T06:53:23.040Z,"7 km SSE of Yamada, Japan",earthquake,6.4,6.6,0.041,177,reviewed,us,us
2020-10-06T06:19:52.474Z,15.9656,-96.2373,35,4,mb,,188,2.738,0.91,us,us6000c5zs,2020-10-06T14:54:06.328Z,"5 km SSW of Santiago Xanica, Mexico",earthquake,9.8,2,0.061,72,reviewed,us,us
